stencil computation, n=6000, m=6000, r=1, c=1, i=10, time=7.952782
stencil computation, n=6000, m=6000, r=2, c=1, i=10, time=2.778669
stencil computation, n=6000, m=6000, r=4, c=1, i=10, time=1.579822
stencil computation, n=6000, m=6000, r=6, c=1, i=10, time=0.713806
stencil computation, n=6000, m=6000, r=8, c=1, i=10, time=0.746986
stencil computation, n=6000, m=6000, r=10, c=1, i=10, time=0.381289
stencil computation, n=6000, m=6000, r=12, c=1, i=10, time=0.383839
stencil computation, n=6000, m=6000, r=14, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=16, c=1, i=10, time=0.268713
stencil computation, n=6000, m=6000, r=18, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=20, c=1, i=10, time=0.245012
stencil computation, n=6000, m=6000, r=22, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=24, c=1, i=10, time=0.266116
stencil computation, n=6000, m=6000, r=26, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=28, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=30, c=1, i=10, time=0.169953
stencil computation, n=6000, m=6000, r=32, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=34, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=36, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=38, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=40, c=1, i=10, time=0.136005
stencil computation, n=6000, m=6000, r=42, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=44, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=46, c=1, i=10, FAIL
stencil computation, n=6000, m=6000, r=48, c=1, i=10, time=0.094951
stencil computation, n=6000, m=6000, r=1, c=2, i=10, time=3.979891
stencil computation, n=6000, m=6000, r=1, c=4, i=10, time=2.017823
stencil computation, n=6000, m=6000, r=1, c=6, i=10, time=1.154714
stencil computation, n=6000, m=6000, r=1, c=8, i=10, time=1.106585
stencil computation, n=6000, m=6000, r=1, c=10, i=10, time=0.779396
stencil computation, n=6000, m=6000, r=1, c=12, i=10, time=0.685770
stencil computation, n=6000, m=6000, r=1, c=14, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=16, i=10, time=0.526127
stencil computation, n=6000, m=6000, r=1, c=18, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=20, i=10, time=0.403014
stencil computation, n=6000, m=6000, r=1, c=22, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=24, i=10, time=0.347026
stencil computation, n=6000, m=6000, r=1, c=26, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=28, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=30, i=10, time=0.284042
stencil computation, n=6000, m=6000, r=1, c=32, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=34, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=36, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=38, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=40, i=10, time=0.221335
stencil computation, n=6000, m=6000, r=1, c=42, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=44, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=46, i=10, FAIL
stencil computation, n=6000, m=6000, r=1, c=48, i=10, time=0.178405
stencil computation, n=6000, m=6000, r=2, c=2, i=10, time=1.024009
stencil computation, n=6000, m=6000, r=2, c=4, i=10, time=0.553221
stencil computation, n=6000, m=6000, r=2, c=6, i=10, time=0.409715
stencil computation, n=6000, m=6000, r=2, c=8, i=10, time=0.501304
stencil computation, n=6000, m=6000, r=4, c=2, i=10, time=0.587878
stencil computation, n=6000, m=6000, r=4, c=4, i=10, time=0.295850
stencil computation, n=6000, m=6000, r=4, c=6, i=10, time=0.225796
stencil computation, n=6000, m=6000, r=4, c=8, i=10, time=0.218411
stencil computation, n=6000, m=6000, r=6, c=2, i=10, time=0.411294
stencil computation, n=6000, m=6000, r=6, c=4, i=10, time=0.223262
stencil computation, n=6000, m=6000, r=6, c=6, i=10, time=0.174735
stencil computation, n=6000, m=6000, r=6, c=8, i=10, time=0.172256
stencil computation, n=6000, m=6000, r=8, c=2, i=10, time=0.285113
stencil computation, n=6000, m=6000, r=8, c=4, i=10, time=0.162786
stencil computation, n=6000, m=6000, r=8, c=6, i=10, time=0.157411
stencil computation, n=6000, m=6000, r=8, c=8, i=10, time=0.141721
stencil computation, n=6000, m=6000, r=1, c=1, i=10, time=7.945955
stencil computation, n=6000, m=6000, r=2, c=1, i=10, time=2.780147
stencil computation, n=6000, m=6000, r=4, c=1, i=10, time=1.393054
stencil computation, n=6000, m=6000, r=6, c=1, i=10, time=0.659794
stencil computation, n=6000, m=6000, r=8, c=1, i=10, time=0.644838
stencil computation, n=6000, m=6000, r=10, c=1, i=10, time=0.383594
stencil computation, n=6000, m=6000, r=12, c=1, i=10, time=0.350074
