stencil computation, n=3000, m=12000, r=1, c=1, i=10, time=6.717333
stencil computation, n=3000, m=12000, r=2, c=1, i=10, time=3.977615
stencil computation, n=3000, m=12000, r=4, c=1, i=10, time=0.954355
stencil computation, n=3000, m=12000, r=6, c=1, i=10, time=0.798034
stencil computation, n=3000, m=12000, r=8, c=1, i=10, time=0.500679
stencil computation, n=3000, m=12000, r=10, c=1, i=10, time=0.681624
stencil computation, n=3000, m=12000, r=12, c=1, i=10, time=0.361817
stencil computation, n=3000, m=12000, r=14, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=16, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=18, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=20, c=1, i=10, time=0.203482
stencil computation, n=3000, m=12000, r=22, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=24, c=1, i=10, time=0.172372
stencil computation, n=3000, m=12000, r=26, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=28, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=30, c=1, i=10, time=0.145502
stencil computation, n=3000, m=12000, r=32, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=34, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=36, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=38, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=40, c=1, i=10, time=0.111063
stencil computation, n=3000, m=12000, r=42, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=44, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=46, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=48, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=2, i=10, time=3.343124
stencil computation, n=3000, m=12000, r=1, c=4, i=10, time=1.728028
stencil computation, n=3000, m=12000, r=1, c=6, i=10, time=1.468025
stencil computation, n=3000, m=12000, r=1, c=8, i=10, time=0.937463
stencil computation, n=3000, m=12000, r=1, c=10, i=10, time=1.264698
stencil computation, n=3000, m=12000, r=1, c=12, i=10, time=0.740837
stencil computation, n=3000, m=12000, r=1, c=14, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=16, i=10, time=0.720764
stencil computation, n=3000, m=12000, r=1, c=18, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=20, i=10, time=0.601514
stencil computation, n=3000, m=12000, r=1, c=22, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=24, i=10, time=0.552086
stencil computation, n=3000, m=12000, r=1, c=26, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=28, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=30, i=10, time=0.425183
stencil computation, n=3000, m=12000, r=1, c=32, i=10, time=0.365903
stencil computation, n=3000, m=12000, r=1, c=34, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=36, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=38, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=40, i=10, time=0.301420
stencil computation, n=3000, m=12000, r=1, c=42, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=44, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=46, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=48, i=10, time=0.520237
stencil computation, n=3000, m=12000, r=2, c=2, i=10, time=2.022035
stencil computation, n=3000, m=12000, r=2, c=4, i=10, time=1.082773
stencil computation, n=3000, m=12000, r=2, c=6, i=10, time=0.699564
stencil computation, n=3000, m=12000, r=2, c=8, i=10, time=0.533235
stencil computation, n=3000, m=12000, r=4, c=2, i=10, time=0.517374
stencil computation, n=3000, m=12000, r=4, c=4, i=10, time=0.519444
stencil computation, n=3000, m=12000, r=4, c=6, i=10, time=0.285518
stencil computation, n=3000, m=12000, r=4, c=8, i=10, time=0.227148
stencil computation, n=3000, m=12000, r=6, c=2, i=10, time=0.436849
stencil computation, n=3000, m=12000, r=6, c=4, i=10, time=0.271973
stencil computation, n=3000, m=12000, r=6, c=6, i=10, time=0.211843
stencil computation, n=3000, m=12000, r=6, c=8, i=10, time=0.179775
stencil computation, n=3000, m=12000, r=8, c=2, i=10, time=0.292867
stencil computation, n=3000, m=12000, r=8, c=4, i=10, time=0.230789
stencil computation, n=3000, m=12000, r=8, c=6, i=10, time=0.193478
stencil computation, n=3000, m=12000, r=8, c=8, i=10, time=0.152246
stencil computation, n=3000, m=12000, r=1, c=1, i=10, time=6.719419
stencil computation, n=3000, m=12000, r=2, c=1, i=10, time=3.978584
stencil computation, n=3000, m=12000, r=4, c=1, i=10, time=0.955377
stencil computation, n=3000, m=12000, r=6, c=1, i=10, time=0.668805
stencil computation, n=3000, m=12000, r=8, c=1, i=10, time=0.501266
stencil computation, n=3000, m=12000, r=10, c=1, i=10, time=0.786188
stencil computation, n=3000, m=12000, r=12, c=1, i=10, time=0.434048
stencil computation, n=3000, m=12000, r=14, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=16, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=1, i=10, time=6.715799
stencil computation, n=3000, m=12000, r=2, c=1, i=10, time=3.970160
stencil computation, n=3000, m=12000, r=4, c=1, i=10, time=1.030595
stencil computation, n=3000, m=12000, r=6, c=1, i=10, time=0.662292
stencil computation, n=3000, m=12000, r=8, c=1, i=10, time=0.528819
stencil computation, n=3000, m=12000, r=10, c=1, i=10, time=0.777963
stencil computation, n=3000, m=12000, r=12, c=1, i=10, time=0.429998
stencil computation, n=3000, m=12000, r=14, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=16, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=18, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=20, c=1, i=10, time=0.224155
stencil computation, n=3000, m=12000, r=22, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=24, c=1, i=10, time=0.171687
stencil computation, n=3000, m=12000, r=26, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=28, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=30, c=1, i=10, time=0.144045
stencil computation, n=3000, m=12000, r=32, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=34, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=36, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=38, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=40, c=1, i=10, time=0.122134
stencil computation, n=3000, m=12000, r=42, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=44, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=46, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=48, c=1, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=2, i=10, time=3.349071
stencil computation, n=3000, m=12000, r=1, c=4, i=10, time=1.728666
stencil computation, n=3000, m=12000, r=1, c=6, i=10, time=1.652513
stencil computation, n=3000, m=12000, r=1, c=8, i=10, time=1.046205
stencil computation, n=3000, m=12000, r=1, c=10, i=10, time=1.059177
stencil computation, n=3000, m=12000, r=1, c=12, i=10, time=0.764769
stencil computation, n=3000, m=12000, r=1, c=14, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=16, i=10, time=0.728925
stencil computation, n=3000, m=12000, r=1, c=18, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=20, i=10, time=0.617424
stencil computation, n=3000, m=12000, r=1, c=22, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=24, i=10, time=0.519621
stencil computation, n=3000, m=12000, r=1, c=26, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=28, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=30, i=10, time=0.385759
stencil computation, n=3000, m=12000, r=1, c=32, i=10, time=0.366999
stencil computation, n=3000, m=12000, r=1, c=34, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=36, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=38, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=40, i=10, time=0.306926
stencil computation, n=3000, m=12000, r=1, c=42, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=44, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=46, i=10, FAIL
stencil computation, n=3000, m=12000, r=1, c=48, i=10, time=0.542477
stencil computation, n=3000, m=12000, r=2, c=2, i=10, time=2.011980
stencil computation, n=3000, m=12000, r=2, c=4, i=10, time=1.084455
stencil computation, n=3000, m=12000, r=2, c=6, i=10, time=0.691828
stencil computation, n=3000, m=12000, r=2, c=8, i=10, time=0.531880
stencil computation, n=3000, m=12000, r=4, c=2, i=10, time=0.515859
stencil computation, n=3000, m=12000, r=4, c=4, i=10, time=0.501100
